"","X","answer_id","token","lemma","POS","is_will_construction","is_goingTo_construction"
"16757",3835390,38246,"will"," will"," MD",1,0
"16758",3835396,38246,"will"," will"," MD",1,0
"16759",3835408,38246,"will"," will"," MD",1,0
"16760",3835629,38248,"will"," will"," MD",1,0
"16761",3835949,38251,"will"," will"," MD",1,0
"16762",3836751,38270,"will"," will"," MD",1,0
"16763",3836887,38270,"will"," will"," MD",1,0
"16764",3837817,38275,"will"," will"," MD",1,0
"16765",3838616,38281,"will"," will"," MD",1,0
"16766",3840847,38295,"will"," will"," MD",1,0
"16767",3840961,38296,"will"," will"," MD",1,0
"16768",3841303,38300,"will"," will"," MD",1,0
"16769",3841370,38300,"will"," will"," MD",1,0
"16770",3841386,38300,"will"," will"," MD",1,0
"16771",3842034,38308,"will"," will"," MD",1,0
"16772",3842068,38308,"will"," will"," MD",1,0
"16773",3842078,38309,"""ll"""," will"," MD",1,0
"16774",3842239,38310,"""ll"""," will"," MD",1,0
"16775",3843771,38322,"will"," will"," MD",1,0
"16776",3843805,38322,"will"," will"," MD",1,0
"16777",3843997,38322,"will"," will"," MD",1,0
"16778",3844015,38322,"will"," will"," MD",1,0
"16779",3844101,38324,"going"," go"," VBG",0,1
"16780",3844434,38327,"""ll"""," will"," MD",1,0
"16781",3844644,38329,"will"," will"," MD",1,0
"16782",3845689,38338,"going"," go"," VBG",0,1
"16783",3848675,38386,"will"," will"," MD",1,0
"16784",3849018,38391,"will"," will"," MD",1,0
"16785",3849394,38392,"will"," will"," MD",1,0
"16786",3849726,38395,"will"," will"," MD",1,0
"16787",3849890,38397,"going"," go"," VBG",0,1
"16788",3850612,38404,"will"," will"," MD",1,0
"16789",3850647,38404,"will"," will"," MD",1,0
"16790",3851199,38409,"will"," will"," MD",1,0
"16791",3852880,38422,"will"," will"," MD",1,0
"16792",3854962,38432,"will"," will"," MD",1,0
"16793",3855040,38432,"will"," will"," MD",1,0
"16794",3855105,38433,"will"," will"," MD",1,0
"16795",3855506,38434,"will"," will"," MD",1,0
"16796",3855518,38434,"will"," will"," MD",1,0
"16797",3855585,38434,"will"," will"," MD",1,0
"16798",3855606,38434,"will"," will"," MD",1,0
"16799",3855625,38434,"wo"," will"," MD",1,0
"16800",3856084,38436,"going"," go"," VBG",0,1
"16801",3857035,38438,"will"," will"," MD",1,0
"16802",3857281,38439,"will"," will"," MD",1,0
"16803",3857296,38439,"""ll"""," will"," MD",1,0
"16804",3857312,38439,"""ll"""," will"," MD",1,0
"16805",3857555,38439,"will"," will"," MD",1,0
"16806",3857905,38440,"will"," will"," MD",1,0
"16807",3858471,38442,"will"," will"," MD",1,0
"16808",3860034,38447,"will"," will"," MD",1,0
"16809",3860908,38451,"will"," will"," MD",1,0
"16810",3861324,38453,"going"," go"," VBG",0,1
"16811",3861558,38455,"going"," go"," VBG",0,1
"16812",3861866,38455,"going"," go"," VBG",0,1
"16813",3863752,38481,"will"," will"," MD",1,0
"16814",3863956,38509,"will"," will"," MD",1,0
"16815",3864120,38510,"will"," will"," MD",1,0
"16816",3864295,38518,"going"," go"," VBG",0,1
"16817",3864393,38519,"will"," will"," MD",1,0
"16818",3864552,38519,"will"," will"," MD",1,0
"16819",3864596,38519,"will"," will"," MD",1,0
"16820",3865282,38521,"will"," will"," MD",1,0
